Κατηγορία,Σχολείο,Κωδικός,Διεύθυνση,Περιφερειακή Διεύθυνση
Γυμνάσια,12ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501150,"ΚΕΙΡΙΑΔΩΝ ΚΑΙ ΣΦΗΤΤΙΩΝ 1, ΤΚ 11854",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,13ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501160,"ΑΛΦΕΙΩΝΙΑΣ 10-12 & ΒΟΥΤΣΙΝΑ, ΤΚ 11632",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,14ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501170,"ΑΝ.ΖΙΝΝΗ 28, ΤΚ 11741",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,15ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501180,"ΡΗΝΕΙΑΣ 2, ΤΚ 11362",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,16ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501190,"Πανόρμου και Λαρίσης 47, ΤΚ 11524",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,17ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501200,"ΚΥΝΙΣΚΑΣ 29, ΤΚ 11636",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,18ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501210,"ΔΑΙΡΠΦΕΛΔ 13, ΤΚ 11144",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,19ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501220,"Αγ. Μελετίου 105, ΤΚ 11251",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501420,"Νικοπόλεως 33-35, ΤΚ 11253",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΒΥΡΩΝΑ,501490,"Γ. ΓΕΝΝΗΜΑΤΑ 34, ΤΚ 16231",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ
