Κατηγορία,Σχολείο,Κωδικός,Διεύθυνση,Περιφερειακή Διεύθυνση,lat,lon,Τύπος,Type
Γυμνάσια,12ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501150,"ΚΕΙΡΙΑΔΩΝ ΚΑΙ ΣΦΗΤΤΙΩΝ 1,  11854",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.974195,23.7110967,Δημόσιο,Public
Γυμνάσια,13ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501160,"ΑΛΦΕΙΩΝΙΑΣ 10-12 & ΒΟΥΤΣΙΝΑ,  11632",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.9573041,23.7441744,Δημόσιο,Public
Γυμνάσια,14ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501170,"ΑΝ.ΖΙΝΝΗ 28,  11741",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.9636008,23.7234977,Δημόσιο,Public
Γυμνάσια,15ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501180,"ΡΗΝΕΙΑΣ 2,  11362",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,,,Δημόσιο,Public
Γυμνάσια,16ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501190,"Πανόρμου και Λαρίσης 47,  11524",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.99344,23.7618968,Δημόσιο,Public
Γυμνάσια,17ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501200,"ΚΥΝΙΣΚΑΣ 29,  11636",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.9644752,23.740032,Δημόσιο,Public
Γυμνάσια,18ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501210,"ΔΑΙΡΠΦΕΛΔ 13,  11144",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,38.0218293,23.7336472,Δημόσιο,Public
Γυμνάσια,19ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501220,"Αγ. Μελετίου 105,  11251",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,38.0006605,23.7285199,Δημόσιο,Public
Γυμνάσια,1ο ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,501420,"Νικοπόλεως 33-35,  11253",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,38.0086539,23.7322808,Δημόσιο,Public
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΒΥΡΩΝΑ,501490,"Γ. ΓΕΝΝΗΜΑΤΑ 34,  16231",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,37.9609127,23.7589143,Δημόσιο,Public
Γυμνάσια,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ,501402,"ΠΑΣΣΩΒ 8,  11141",ΔΙΕΥΘΥΝΣΗ Δ.Ε. Α΄ ΑΘΗΝΑΣ,38.0129183,23.7398346,Δημόσιο,Public
